區域,候選人,職務,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,超過三萬元之收入合計,金錢收入總額,收入合計,非金錢收入總額,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,專戶存款結存金額,公共關係費用支出,支出合計,超過三萬元之支出合計,收支結存金額,金錢以外之賸餘財產,結算日期,申報日期,更正日期
基隆市 ,高辜惠珍 ,None,277200.0,0.0,50000.0,0.0,0.0,0.0,50000.0,28600.0,327200.0,41200.0,140000.0,510348.0,19000.0,0.0,0.0,0.0,111955.0,0.0,0.0,0.0,0.0,781303.0,246800.0,-454103.0,0.0,None,None,None
基隆市 ,張芳麗 ,None,823000.0,1285000.0,50000.0,0.0,0.0,25.0,1890000.0,2158025.0,2158025.0,0.0,540000.0,548023.0,71139.0,198100.0,237570.0,4174.0,258078.0,0.0,0.0,23.0,323079.0,2180163.0,1544920.0,-22138.0,0.0,None,None,None
基隆市 ,張保吉 ,None,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0,30000.0,0.0,0.0,57500.0,0.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,64000.0,0.0,-34000.0,0.0,None,None,None
基隆市 ,張耿輝 ,None,163666.0,180000.0,50000.0,0.0,28900.0,47.0,260000.0,393713.0,422613.0,28900.0,0.0,771896.0,0.0,200000.0,0.0,3000.0,330979.0,20000.0,0.0,54.0,37800.0,1363675.0,887646.0,-941062.0,0.0,None,None,None
基隆市 ,張淵翔 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None
基隆市 ,張漢土 ,None,14000.0,36700.0,50000.0,0.0,0.0,0.0,50000.0,50000.0,100700.0,50700.0,231000.0,545730.0,134200.0,128000.0,68700.0,0.0,81955.0,0.0,0.0,3.0,0.0,1189585.0,885556.0,-1088885.0,0.0,None,None,None
基隆市 ,張銘傑 ,None,158000.0,0.0,30000.0,0.0,2000.0,0.0,0.0,190000.0,190000.0,0.0,50000.0,250000.0,80000.0,0.0,0.0,0.0,50000.0,0.0,0.0,40.0,0.0,430000.0,38000.0,-240000.0,0.0,None,None,None
基隆市 ,張錦煌 ,None,163000.0,35000.0,0.0,0.0,0.0,0.0,100000.0,198000.0,198000.0,0.0,125600.0,463001.0,110000.0,105000.0,36800.0,3210.0,170861.0,0.0,0.0,0.0,0.0,1014472.0,686045.0,-816472.0,0.0,None,None,None
基隆市 ,莊榮欽 ,None,119000.0,0.0,50000.0,30000.0,0.0,9.0,50000.0,199009.0,199009.0,0.0,0.0,297335.0,91000.0,150000.0,0.0,0.0,54231.0,0.0,0.0,9.0,0.0,592566.0,503060.0,-393557.0,0.0,None,None,None
基隆市 ,莊錦田 ,None,414340.0,657000.0,0.0,0.0,0.0,19.0,922000.0,1049019.0,1071359.0,22340.0,41040.0,1015391.0,29460.0,8200.0,36221.0,81562.0,233799.0,5000.0,0.0,34019.0,83575.0,1534248.0,920080.0,-462889.0,0.0,None,None,None
基隆市 ,陳江山 ,None,360600.0,0.0,50000.0,0.0,9000.0,0.0,400000.0,419600.0,419600.0,0.0,50000.0,229600.0,60000.0,30000.0,0.0,0.0,72000.0,0.0,0.0,0.0,0.0,441600.0,192000.0,-22000.0,0.0,None,None,None
基隆市 ,陳志成 ,None,40000.0,150000.0,0.0,0.0,0.0,6.0,150000.0,190006.0,190006.0,0.0,0.0,314450.0,73000.0,80000.0,0.0,0.0,25984.0,0.0,0.0,6.0,0.0,493434.0,334000.0,-303428.0,0.0,None,None,None
基隆市 ,陳東財 ,None,191800.0,75000.0,0.0,0.0,0.0,6.0,50000.0,266806.0,266806.0,0.0,0.0,161594.0,0.0,0.0,15000.0,0.0,124349.0,0.0,0.0,60.0,0.0,300943.0,136500.0,-34137.0,0.0,None,None,None
基隆市 ,陳金樹 ,None,735000.0,80000.0,50000.0,0.0,2000.0,0.0,770000.0,862000.0,867000.0,5000.0,30000.0,800000.0,110000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945000.0,850000.0,-78000.0,0.0,None,None,None
基隆市 ,曾水源 ,None,214600.0,650000.0,50000.0,0.0,0.0,44.0,750000.0,894644.0,914644.0,20000.0,63000.0,504292.0,0.0,115900.0,153854.0,8816.0,92036.0,0.0,0.0,444644.0,0.0,937898.0,545700.0,-23254.0,0.0,None,None,None
基隆市 ,游秋臨 ,None,60000.0,80000.0,30000.0,10000.0,0.0,2.0,90000.0,180002.0,180002.0,0.0,0.0,268706.0,221045.0,1117.0,171460.0,1906.0,44085.0,0.0,0.0,2.0,5000.0,713319.0,450700.0,-533317.0,0.0,None,None,None
基隆市 ,游祥耀 ,None,262000.0,0.0,0.0,0.0,0.0,0.0,80000.0,262000.0,262000.0,0.0,390000.0,384171.0,0.0,165000.0,0.0,70867.0,299392.0,0.0,0.0,0.0,0.0,1309430.0,737040.0,-1047430.0,0.0,None,None,None
基隆市 ,黃景泰 ,None,928550.0,1340000.0,50000.0,100000.0,0.0,0.0,1852000.0,2415800.0,2418550.0,2750.0,450000.0,1066717.0,15000.0,90000.0,25000.0,21081.0,1191750.0,0.0,0.0,0.0,0.0,2859548.0,815517.0,-440998.0,77000.0,None,None,None
基隆市 ,楊石城 ,None,240000.0,53000.0,50000.0,10000.0,72100.0,0.0,250000.0,392200.0,425100.0,32900.0,203000.0,113021.0,15283.0,272470.0,0.0,0.0,97461.0,0.0,0.0,0.0,0.0,701235.0,472700.0,-276135.0,0.0,None,None,None
基隆市 ,詹春陽 ,None,250000.0,0.0,0.0,0.0,0.0,0.0,210000.0,250000.0,250000.0,0.0,0.0,539074.0,110000.0,0.0,0.0,7665.0,100885.0,0.0,0.0,0.0,0.0,757624.0,283509.0,-507624.0,0.0,None,None,None
基隆市 ,蔡旺璉 ,None,0.0,50000.0,50000.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,75000.0,285952.0,91500.0,9560.0,26750.0,4610.0,138777.0,0.0,0.0,7.0,0.0,632149.0,0.0,-532149.0,0.0,None,None,None
基隆市 ,蔡適應 ,None,1098400.0,915000.0,0.0,30000.0,2000.0,9.0,1440000.0,2045409.0,2045409.0,0.0,821000.0,970573.0,85864.0,53650.0,83961.0,2756.0,274242.0,0.0,5000.0,9.0,19500.0,2316546.0,872315.0,-271137.0,0.0,None,None,None
基隆市 ,鄭可熙 ,None,68000.0,200000.0,0.0,5000.0,0.0,2.0,236000.0,273002.0,273002.0,0.0,0.0,292398.0,56900.0,13500.0,21000.0,6675.0,160199.0,0.0,0.0,2.0,0.0,550672.0,255334.0,-277670.0,0.0,None,None,None
基隆市 ,鄭林清良 ,None,440710.0,81900.0,50000.0,60000.0,14150.0,23.0,410000.0,589223.0,646783.0,57560.0,0.0,159560.0,105368.0,34986.0,221422.0,39940.0,212701.0,0.0,0.0,59223.0,47000.0,820977.0,449429.0,-174194.0,0.0,None,None,None
基隆市 ,駱智仁 ,None,140000.0,0.0,30000.0,0.0,38870.0,1.0,100000.0,183401.0,208871.0,25470.0,0.0,203194.0,16116.0,0.0,23700.0,0.0,22745.0,0.0,0.0,0.0,0.0,265755.0,75000.0,-56884.0,0.0,None,None,None
基隆市 ,謝守男 ,None,200000.0,100000.0,50000.0,0.0,0.0,0.0,350000.0,350000.0,350000.0,0.0,30000.0,265413.0,60000.0,0.0,0.0,0.0,81169.0,0.0,0.0,0.0,0.0,436582.0,241688.0,-86582.0,0.0,None,None,None
基隆市 ,韓良圻 ,None,306000.0,348200.0,50000.0,3000.0,27000.0,0.0,495000.0,707200.0,734200.0,27000.0,0.0,625852.0,0.0,80000.0,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,746852.0,652352.0,-12652.0,1000.0,None,None,None
基隆市 ,簡曉東 ,None,36000.0,0.0,30000.0,0.0,22000.0,0.0,0.0,88000.0,88000.0,0.0,0.0,86000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,88000.0,0.0,0.0,0.0,None,None,None
基隆市 ,藍敏煌 ,None,273000.0,76000.0,50000.0,0.0,0.0,0.0,300000.0,399000.0,399000.0,0.0,116390.0,778234.0,112500.0,0.0,24000.0,0.0,20235.0,0.0,0.0,6.0,0.0,1051359.0,728567.0,-652359.0,0.0,None,None,None
基隆市 ,顏厚廣 ,None,74500.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,74500.0,4500.0,0.0,167750.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177750.0,167750.0,-103250.0,4500.0,None,None,None
基隆市 ,羅富友 ,None,80000.0,0.0,30000.0,0.0,26000.0,0.0,60000.0,50000.0,136000.0,86000.0,30000.0,264607.0,2000.0,92000.0,26000.0,0.0,5076.0,0.0,0.0,0.0,0.0,419683.0,227800.0,-283683.0,0.0,None,None,None
基隆市 ,蘇財發 ,None,99600.0,197000.0,30000.0,0.0,0.0,3.0,150000.0,326603.0,326603.0,0.0,117000.0,276369.0,94000.0,0.0,51000.0,15576.0,10498.0,0.0,0.0,603.0,0.0,564443.0,329000.0,-237840.0,0.0,None,None,None
桃園縣 ,王淳長 ,None,406000.0,120000.0,0.0,0.0,0.0,0.0,300000.0,526000.0,526000.0,0.0,0.0,137600.0,0.0,0.0,195400.0,0.0,224230.0,0.0,0.0,0.0,0.0,557230.0,89800.0,-4230.0,0.0,None,None,None
