vote_id,election_id,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,income,cost,area,no,name,gender,birth_year,sec_name,sec_gender,sec_birth_year,party,vote_cnt,vote_rate,elect_ind,incumbent_ind,year,term,title,main_type,sub_type,leader_ind,position_level
2574,20051201T1C2,220000,2200000,0,0,0,0,0,2027225,317200,0,17000,0,229453,0,0,0,2420000,2590878,臺北縣第十選區,6,許再恩,M,1942,"","",,中國國民黨,19950,0.1245,f,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2575,20051201T1C2,10000,0,0,200000,0,0,0,1655570,679133,0,0,15942,592084,0,0,0,210000,2942729,臺北縣第六選區,4,許文琪,M,1952,"","",,無,3002,0.0112,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2576,20051201T1C2,30010,0,0,0,0,0,0,11800,0,0,0,6047,139303,0,0,0,30010,157150,臺北縣第五選區,3,謝志賢,M,1960,"","",,無,263,0.001,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2577,20051201T1C2,130000,260000,0,0,0,0,0,231675,298606,160000,0,20184,286673,0,0,0,390000,997138,臺北縣第六選區,15,謝清鎧,M,1959,"","",,中國國民黨,8932,0.0333,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2578,20051201T1C2,1106200,20000,0,10000,38500,73,0,1376094,0,0,59300,0,290130,0,0,0,1174773,1725524,臺北縣第一選區,5,趙燕昭,M,1956,"","",,中國國民黨,20981,0.0791,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2579,20051201T1C2,784200,1086666,0,0,2100,89,0,2023470,179000,0,70000,22401,431800,0,0,0,1873055,2726671,臺北縣第三選區,6,連斐璠,F,1959,"","",,中國國民黨,27595,0.2425,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2580,20051201T1C2,0,0,0,0,0,0,0,0,0,0,0,70,24170,0,0,0,0,24240,臺北縣第四選區,14,連鄭美素,F,1956,"","",,中國國民黨,8852,0.0346,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2581,20051201T1C2,1561800,590000,0,0,0,124,0,1264625,326477,40000,55000,31559,528310,0,0,0,2151924,2245971,臺北縣第七選區,4,郭哲道,M,1948,"","",,無,12640,0.14,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2582,20051201T1C2,3000,10000,0,0,0,0,0,0,0,0,0,0,17166,0,0,0,13000,17166,臺北縣第四選區,6,鄧嘉慶,M,1972,"","",,無,13596,0.0531,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2583,20051201T1C2,341800,1769800,0,0,0,2,0,1211503,394910,26630,0,13301,843994,0,0,0,2111602,2490338,臺北縣第五選區,16,鄭世維,M,1966,"","",,中國國民黨,16381,0.0607,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2584,20051201T1C2,1581600,1778000,0,0,94100,5,0,2645023,190000,0,177720,21728,472942,0,0,0,3453705,3507413,臺北縣第七選區,5,鄭戴麗香,F,1954,"","",,無,18847,0.2087,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2585,20051201T1C2,1757000,1037000,0,0,0,9,0,350745,129000,0,0,74101,870106,0,0,0,2794009,1423952,臺北縣第四選區,1,鄭綉瑛,F,1962,"","",,中國國民黨,16074,0.0628,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2586,20051201T1C2,928000,890000,0,0,70400,0,0,1010000,882300,0,160000,68021,911925,0,0,0,1888400,3032246,臺北縣第五選區,22,鄭金隆,M,1955,"","",,無,16060,0.0595,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2587,20051201T1C2,105000,30000,0,100000,0,28,0,721748,0,0,0,14335,395289,0,0,0,235028,1131372,臺北縣第三選區,4,金介壽,M,1951,"","",,親民黨,16779,0.1474,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2588,20051201T1C2,800000,390000,0,0,0,36,0,578656,212700,201801,177950,66633,716203,0,0,0,1190036,1953943,臺北縣第四選區,11,陳世雄,M,1959,"","",,民主進步黨,13134,0.0513,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2589,20051201T1C2,511000,230000,0,200000,0,42,0,1398140,0,0,0,0,233000,0,0,0,941042,1631140,臺北縣第五選區,20,陳啟能,M,1959,"","",,台灣團結聯盟,13711,0.0508,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2590,20051201T1C2,2905050,4830000,0,0,3000,568,0,7399374,118480,192600,15800,7846,391197,0,0,0,7738618,8125297,臺北縣第五選區,18,陳幸進,M,1943,"","",,中國國民黨,17688,0.0655,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2591,20051201T1C2,2972800,3423000,0,0,0,224,0,1249708,74400,496248,0,142747,4542954,0,0,0,6396024,6506057,臺北縣第六選區,8,陳文治,M,1967,"","",,民主進步黨,13578,0.0506,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2592,20051201T1C2,642000,1299000,1,20000,0,42,0,1193739,312810,1,339200,107660,122443,0,0,0,1961043,2075853,臺北縣第四選區,12,陳文錄,M,1949,"","",,無,14976,0.0585,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2593,20051201T1C2,230600,996600,0,0,0,83,0,0,0,0,0,0,1238493,0,0,0,1227283,1238493,臺北縣第六選區,21,陳明義,M,1967,"","",,中國國民黨,18817,0.0702,t,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2594,20051201T1C2,348000,325000,0,0,0,0,0,99600,66300,20400,43000,36085,526834,0,0,0,673000,792219,臺北縣第八選區,6,陳正鋒,M,1965,"","",,無,8104,0.0793,f,f,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
2595,20051201T1C2,2154600,2179888,0,24500,0,116,0,2681544,105500,15000,12000,79245,1697381,0,20000,0,4359104,4610670,臺北縣第十選區,7,陳永福,M,1958,"","",,無,20497,0.1279,t,t,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,0,6
