選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
99年嘉義縣竹崎鄉鄉民代表,莊林雪蓮,720000,30000,0,0,0,0,285000,362980,60571,0,91500,15485,205237,0,0,0
99年嘉義縣義竹鄉村長,呂權智,300000,0,0,0,0,0,21000,25000,0,0,22050,0,230130,0,0,0
99年嘉義縣義竹鄉村長,翁山鳳,400000,0,0,0,0,0,0,79300,0,0,50520,0,74395,0,0,0
99年嘉義縣義竹鄉鄉民代表,李春茂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年嘉義縣義竹鄉鄉民代表,黃江山,450000,0,0,0,0,0,0,85000,0,0,17750,0,52134,0,0,0
99年基隆市里長,劉秋英,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,吳銘達,18000,0,0,0,0,0,0,3000,0,0,15000,0,0,0,0,0
99年基隆市里長,張建凱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,張榮妹,32750,0,0,0,0,0,0,35700,0,5550,5400,0,20,0,0,0
99年基隆市里長,張榮華,85400,0,0,0,11400,4,0,92100,0,15500,21100,0,51189,0,0,0
99年基隆市里長,曾世芳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,林旭日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,林達欽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,林金龍,130800,0,0,0,18000,3,0,124100,0,24000,11200,0,12411,0,0,0
99年基隆市里長,楊振源,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,經義海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,羅聰德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,翟志中,32800,0,0,0,0,0,0,87600,0,0,0,0,3600,0,0,0
99年基隆市里長,葉錦地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,蔡秋霖,66000,0,3000,0,0,3,0,112850,0,0,3672,0,3756,0,0,0
99年基隆市里長,賴興泉,0,0,0,0,0,0,0,10700,0,0,0,0,13835,0,0,0
99年基隆市里長,陳永光,20000,0,0,0,0,0,0,15700,0,20000,0,0,30000,0,0,0
99年基隆市里長,陳濬翔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,魏君龍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年基隆市里長,黃淑芬,200000,0,0,0,0,0,0,154150,0,15000,0,0,45015,0,0,0
99年宜蘭縣三星鄉鄉民代表,游正義,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣三星鄉鄉民代表,陳世玉,118000,0,0,0,0,0,24000,0,2860,13000,59928,0,64952,0,0,0
99年宜蘭縣三星鄉鄉民代表,陳換廷,255000,50000,0,0,0,0,184000,64642,40000,0,24000,2565,164497,0,0,0
99年宜蘭縣五結鄉村長,張朝松,0,0,0,0,0,0,0,28700,0,0,0,941,21572,0,0,0
99年宜蘭縣五結鄉村長,曾秋萍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
